timestamp,mouse_distance,mouse_left_click,mouse_right_click,mouse_scroll,keyboard_counts,cpu_percent,ram_percent,gpu_percent,gpu_vram_percent,bytes_sent_per_sec,bytes_recv_per_sec,packets_sent_per_sec,packets_recv_per_sec,read_bytes_per_sec,write_bytes_per_sec,label,session_id,mouse_left_click_freq,mouse_right_click_freq,mouse_scroll_freq,keyboard_counts_freq,mouse_distance_freq,bytes_sent_per_sec_freq,bytes_recv_per_sec_freq,packets_sent_per_sec_freq,packets_recv_per_sec_freq,read_bytes_per_sec_freq,write_bytes_per_sec_freq
5470.0,0.0,0,0,0,0,-2.4090909090909096,-7.96872110939907,-4.377503852080123,0.402845345475324,163,351,3,5,0,45056,3,3,0.0,0.0,0.0,0.0,0.0,36044.0,971685.0,483.0,670.0,65536.0,337920.0
5471.0,0.0,0,0,0,0,3.590909090909091,-7.46872110939907,-4.377503852080123,0.3608631764474808,0,0,0,0,0,185344,3,3,0.0,0.0,0.0,0.0,0.0,36044.0,971685.0,483.0,670.0,65536.0,482304.0
5472.0,0.0,0,0,0,0,2.6909090909090905,-7.268721109399067,-4.377503852080123,0.3551383352164095,457,0,9,0,0,333312,3,3,0.0,0.0,0.0,0.0,0.0,36501.0,971685.0,492.0,670.0,65536.0,811520.0
5473.0,0.0,0,0,0,0,4.990909090909091,-7.368721109399068,-2.377503852080123,0.3551383352164095,775,670,10,1,16384,543744,3,3,0.0,0.0,0.0,0.0,0.0,37276.0,972355.0,502.0,671.0,81920.0,1347072.0
5474.0,0.0,0,0,0,0,3.3909090909090898,-7.668721109399073,-2.377503852080123,0.3261324729789905,25393,672954,366,453,0,60928,3,3,0.0,0.0,0.0,0.0,0.0,42548.0,1055707.0,582.0,727.0,81920.0,1395712.0
5475.0,0.0,0,0,0,0,4.1909090909090905,-7.96872110939907,22.622496147919875,0.5322267572975043,245,185,2,1,0,24576,3,3,0.0,0.0,0.0,0.0,0.0,42303.0,1055522.0,580.0,726.0,81920.0,1420288.0
5476.0,0.0,0,0,0,0,2.590909090909091,-7.96872110939907,22.622496147919875,0.4345228002872439,531,207,2,2,225280,217088,3,3,0.0,0.0,0.0,0.0,0.0,42573.0,1055595.0,580.0,727.0,307200.0,1557504.0
5477.0,0.0,0,0,0,0,2.590909090909091,-7.96872110939907,22.622496147919875,0.4345228002872439,110,126,2,2,0,105984,3,3,0.0,0.0,0.0,0.0,0.0,42683.0,1055721.0,582.0,729.0,241664.0,1655296.0
5478.0,0.0,0,0,0,0,0.7909090909090901,-7.96872110939907,24.622496147919875,0.4345228002872439,108,291,2,4,0,184320,3,3,0.0,0.0,0.0,0.0,0.0,42736.0,1055946.0,583.0,732.0,241664.0,1749504.0
5479.0,0.0,0,0,0,0,2.1909090909090905,-7.96872110939907,23.622496147919875,0.3314756581279887,13919,355516,179,245,65536,753664,3,3,0.0,0.0,0.0,0.0,0.0,41701.0,1030300.0,575.0,713.0,307200.0,2454016.0
5480.0,0.0,0,0,0,0,1.6909090909090905,-7.96872110939907,22.622496147919875,0.4345228002872439,270,1801,5,7,24576,0,3,3,0.0,0.0,0.0,0.0,0.0,41808.0,1031750.0,577.0,715.0,331776.0,2408960.0
5481.0,0.0,0,0,0,0,0.1909090909090904,-7.96872110939907,20.622496147919875,0.4345228002872439,0,0,0,0,0,69632,3,3,0.0,0.0,0.0,0.0,0.0,41808.0,1031750.0,577.0,715.0,331776.0,2293248.0
5482.0,0.0,0,0,0,0,2.090909090909091,-7.96872110939907,21.622496147919875,0.4345228002872439,180,212,2,3,0,151552,3,3,0.0,0.0,0.0,0.0,0.0,41531.0,1031962.0,570.0,718.0,331776.0,2111488.0
