timestamp,mouse_distance,mouse_left_click,mouse_right_click,mouse_scroll,keyboard_counts,cpu_percent,ram_percent,gpu_percent,gpu_vram_percent,label,session_id,mouse_left_click_freq,mouse_right_click_freq,mouse_scroll_freq,keyboard_counts_freq,mouse_distance_freq
115.0,37.56685303344434,1,1,0,0,60.7312734082397,30.319475655430715,56.569288389513105,48.980537641066945,1,0,3.0,3.0,0.0,54.0,800.747745883499
116.0,4.242640687119286,0,0,0,1,48.5312734082397,29.91947565543071,65.5692883895131,48.980537641066945,1,0,3.0,2.0,0.0,52.0,758.0943620587705
117.0,169.97066905890154,0,1,0,10,51.0312734082397,30.119475655430712,69.5692883895131,49.175945555087466,1,0,2.0,3.0,0.0,59.0,813.2433476547835
118.0,10.478708664619075,0,0,0,4,57.63127340823971,29.819475655430715,70.5692883895131,49.175945555087466,1,0,2.0,3.0,0.0,56.0,765.2577163328206
119.0,35.17113040917609,2,0,0,3,57.831273408239696,30.019475655430703,67.5692883895131,49.175945555087466,1,0,4.0,2.0,0.0,47.0,734.0375062445712
120.0,44.91758016699947,0,0,1,5,49.63127340823971,30.119475655430712,71.5692883895131,49.566761383128494,1,0,4.0,2.0,1.0,47.0,719.6906480165425
121.0,24.875260192432428,1,3,0,3,44.0312734082397,30.019475655430703,71.5692883895131,49.566761383128494,1,0,4.0,5.0,1.0,40.0,684.198308096195
122.0,26.055211184844477,0,0,0,0,50.931273408239704,30.119475655430712,62.569288389513105,49.566761383128494,1,0,4.0,5.0,1.0,27.0,580.0677655341725
123.0,67.54647650731991,0,2,0,6,47.831273408239696,30.219475655430706,72.5692883895131,49.566761383128494,1,0,4.0,7.0,1.0,32.0,486.03759659708976
124.0,73.49694254202359,1,0,0,4,48.0312734082397,30.119475655430712,71.5692883895131,49.566761383128494,1,0,5.0,7.0,1.0,36.0,494.3214724468802
125.0,113.58150039579604,0,3,0,12,45.0312734082397,30.219475655430706,71.5692883895131,49.566761383128494,1,0,4.0,9.0,1.0,48.0,570.336119809232
126.0,85.34682418076747,0,1,0,6,47.831273408239696,30.41947565543071,68.5692883895131,49.762169297149015,1,0,4.0,10.0,1.0,53.0,651.44030330288
127.0,17.30056307974577,1,0,0,1,60.5312734082397,30.519475655430703,68.5692883895131,49.37402506168249,1,0,5.0,9.0,1.0,44.0,498.7701973237243
128.0,118.58948710055424,0,1,0,4,51.931273408239704,30.019475655430703,69.5692883895131,49.28576709270348,1,0,5.0,10.0,1.0,44.0,606.8809757596595
129.0,124.48147168618728,1,0,0,6,47.7312734082397,30.019475655430703,69.5692883895131,49.28576709270348,1,0,4.0,10.0,1.0,47.0,696.1913170366707
130.0,92.74631139904533,0,0,0,2,51.13127340823971,29.91947565543071,72.5692883895131,49.28576709270348,1,0,4.0,10.0,0.0,44.0,744.0200482687166
