timestamp,mouse_distance,mouse_left_click,mouse_right_click,mouse_scroll,keyboard_counts,cpu_percent,ram_percent,gpu_percent,gpu_vram_percent,bytes_sent_per_sec,bytes_recv_per_sec,packets_sent_per_sec,packets_recv_per_sec,read_bytes_per_sec,write_bytes_per_sec,label
2025-09-23 21:52:46,0,0,0,0,0,8.8,73.2,29,18.215442950048853,3579,25378,25,30,0,32768,video
2025-09-23 21:52:47,0,0,0,0,0,8.4,72.9,30,18.215442950048853,3066,53189,29,42,0,0,video
2025-09-23 21:52:48,0,0,0,0,0,6.6,72.9,32,18.265058240718123,2639,27545,23,22,0,65536,video
2025-09-23 21:52:49,0,0,0,0,0,7.3,73.0,34,18.265058240718123,3001,36607,26,35,0,4096,video
2025-09-23 21:52:50,0,0,0,0,0,5.5,73.0,34,18.216206262212996,5503,73351,43,63,0,16384,video
2025-09-23 21:52:51,0,0,0,0,0,6.2,73.1,33,18.216206262212996,888,11861,8,10,0,49152,video
2025-09-23 21:52:52,0,0,0,0,0,4.6,73.2,31,18.216206262212996,1316,14409,11,15,0,12288,video
2025-09-23 21:52:53,0,0,0,0,0,6.8,73.3,35,18.213916325720568,3705,74509,36,62,0,0,video
2025-09-23 21:52:54,0,0,0,0,0,5.5,73.3,32,18.316963467879823,835,630,7,5,0,191488,video
2025-09-23 21:52:55,0,0,0,0,0,8.0,73.4,38,18.213916325720568,54,566,1,1,0,0,video
2025-09-23 21:52:56,592.071710825493,0,0,0,0,7.8,73.1,32,18.213916325720568,623,1546,6,6,0,0,video
2025-09-23 21:52:57,859.3944865734582,0,0,0,0,10.4,73.1,37,18.451878892892037,12727,6152,41,40,16384,20480,video
2025-09-23 21:52:58,438.57249123525423,0,0,0,0,6.7,73.4,8,18.512180553859306,10357,38557,39,49,131072,149504,video
2025-09-23 21:52:59,416.9396773371972,0,0,9,0,11.1,73.1,19,19.144012197728383,35553,74946,113,116,196608,675840,video
2025-09-23 21:53:00,171.49500101850643,0,0,0,0,12.8,73.5,60,18.83716070774304,66054,39353,123,108,458752,186880,video
2025-09-23 21:53:01,78.87510089786764,0,0,3,0,10.9,74.0,4,19.11691461590132,8310,6779,29,30,0,94208,video
2025-09-23 21:53:02,337.6934828010467,0,0,0,0,12.1,74.2,1,18.9215067018808,15022,2129,19,17,180224,1742848,video
2025-09-23 21:53:03,193.0005806864894,0,0,6,0,11.4,74.2,8,18.9840982993405,3890,2965,15,13,229376,602112,video
2025-09-23 21:53:04,138.45871431503517,0,0,4,0,20.0,74.3,12,19.095541875305326,49494,16342,59,51,217088,403968,video
2025-09-23 21:53:05,339.66131511019165,0,0,8,0,17.2,73.7,14,18.961198934416217,2919,1162,9,7,0,61440,video
2025-09-23 21:53:06,406.91777061985437,1,0,0,0,12.4,73.7,15,18.89784402479238,19076,14838,38,38,114688,466432,video
2025-09-23 21:53:07,177.17000030588474,0,0,0,0,15.4,73.8,20,18.802430004274548,24378,3738,34,33,0,46080,video
2025-09-23 21:53:08,213.26712216955755,0,0,0,0,12.1,73.4,22,18.830672554347828,108,431,2,5,49152,412672,video
2025-09-23 21:53:09,68.23975147509222,0,0,0,0,8.9,73.5,0,18.940589505984367,25281,12693,51,50,135168,188416,video
2025-09-23 21:53:10,35.601470508735446,0,0,14,0,6.8,73.6,42,18.959910845139227,16357,1761,20,17,0,43520,video
2025-09-23 21:53:11,886.6796412022384,0,0,12,0,17.1,73.8,31,19.23126831949194,9057,69895,53,68,1036288,2968576,video
2025-09-23 21:53:12,233.3578773715977,0,0,0,0,7.1,73.9,2,19.257220933072787,4189,1471,7,10,159744,472576,video
2025-09-23 21:53:13,1228.3141120518894,2,0,0,0,16.7,72.7,61,19.58544516365413,59214,26648,111,107,65536,57344,video
2025-09-23 21:53:14,129.8821636367792,1,0,0,0,11.6,72.7,5,18.45350093124084,10848,12519,27,26,122880,445952,video
2025-09-23 21:53:15,505.58363735590973,0,0,0,0,13.3,72.4,4,18.357085063507572,51939,438598,323,353,430080,1259008,video
2025-09-23 21:53:16,81.25343768074784,0,0,0,0,5.8,72.5,0,18.283997923790913,10640,13314,21,23,278528,684544,video
2025-09-23 21:53:17,393.5485508074033,0,0,0,0,9.2,72.5,0,18.32063690766976,56201,765400,523,573,0,24576,video
2025-09-23 21:53:18,519.3403352874103,1,0,0,0,10.6,72.3,4,18.043793127137274,50120,521996,409,406,151552,1681920,video
2025-09-23 21:53:19,411.45593705118534,0,0,0,0,20.3,73.6,1,19.154793982046897,102396,1329775,858,1015,1176576,1918976,video
2025-09-23 21:53:20,580.7858302710172,0,0,0,0,21.2,74.4,45,19.050888113702978,215088,1820979,1374,1529,2995200,11015168,video
2025-09-23 21:53:21,0,1,0,0,0,11.6,73.9,22,18.83663593063019,62243,100924,134,128,5085184,1892352,video
2025-09-23 21:53:22,335.9868356750021,2,0,0,0,11.6,73.9,6,18.925943453834883,9117,16355,39,45,507904,6644736,video
2025-09-23 21:53:23,0,0,0,0,0,10.2,73.6,6,18.783967391304348,3779,28357,30,33,98304,653312,video
2025-09-23 21:53:24,0,0,0,0,0,7.5,73.6,6,18.67877343368344,2643,74924,43,65,348160,955904,video
2025-09-23 21:53:25,0,0,0,0,0,9.8,73.5,13,18.544048836712264,48082,1016395,643,789,0,234496,video
2025-09-23 21:53:26,108.37378220540303,0,0,8,0,11.1,73.8,27,19.273775265632633,155312,3043485,1875,2226,626688,787968,video
2025-09-23 21:53:27,184.60517140172342,0,0,1,0,11.9,74.0,2,19.332550302271617,135466,1773124,1142,1367,131072,1405952,video
2025-09-23 21:53:28,181.7148133215402,0,0,3,0,14.9,74.0,21,19.30507106436248,27510,558475,369,459,7065600,7620096,video
2025-09-23 21:53:29,162.23281671280085,0,0,3,0,14.9,74.3,6,19.30468940828041,32248,29116,67,60,9760256,212992,video
2025-09-23 21:53:30,370.2227757480986,1,0,0,0,19.7,74.6,6,19.202405578285294,22253,491607,266,342,319488,335360,video
2025-09-23 21:53:31,255.37221167493496,0,0,0,0,22.0,74.5,7,19.331786990107474,14602,13620,33,35,3094528,1868800,video
